mmm-yy,time
Aug-82,Aug-82
Sep-82,Sep-82
Oct-82,Oct-82
Nov-82,Nov-82
Dec-82,Dec-82
Jan-83,Jan-83
Feb-83,Feb-83
Mar-83,Mar-83
Apr-83,Apr-83
May-83,May-83
Jun-83,Jun-83
Jul-83,Jul-83
Aug-83,Aug-83
Sep-83,Sep-83
Oct-83,Oct-83
Nov-83,Nov-83
Dec-83,Dec-83
Jan-84,Jan-84
Feb-84,Feb-84
Mar-84,Mar-84
Apr-84,Apr-84
May-84,May-84
Jun-84,Jun-84
Jul-84,Jul-84
Aug-84,Aug-84
Sep-84,Sep-84
Oct-84,Oct-84
Nov-84,Nov-84
Dec-84,Dec-84
Jan-85,Jan-85
Feb-85,Feb-85
Mar-85,Mar-85
Apr-85,Apr-85
May-85,May-85
Jun-85,Jun-85
Jul-85,Jul-85
Aug-85,Aug-85
Sep-85,Sep-85
Oct-85,Oct-85
Nov-85,Nov-85
Dec-85,Dec-85
Jan-86,Jan-86
Feb-86,Feb-86
Mar-86,Mar-86
Apr-86,Apr-86
May-86,May-86
Jun-86,Jun-86
Jul-86,Jul-86
Aug-86,Aug-86
Sep-86,Sep-86
Oct-86,Oct-86
Nov-86,Nov-86
Dec-86,Dec-86
Jan-87,Jan-87
Feb-87,Feb-87
Mar-87,Mar-87
Apr-87,Apr-87
May-87,May-87
Jun-87,Jun-87
Jul-87,Jul-87
Aug-87,Aug-87
Sep-87,Sep-87
Oct-87,Oct-87
Nov-87,Nov-87
Dec-87,Dec-87
Jan-88,Jan-88
Feb-88,Feb-88
Mar-88,Mar-88
Apr-88,Apr-88
May-88,May-88
Jun-88,Jun-88
Jul-88,Jul-88
Aug-88,Aug-88
Sep-88,Sep-88
Oct-88,Oct-88
Nov-88,Nov-88
Dec-88,Dec-88
Jan-89,Jan-89
Feb-89,Feb-89
Mar-89,Mar-89
Apr-89,Apr-89
May-89,May-89
Jun-89,Jun-89
Jul-89,Jul-89
Aug-89,Aug-89
Sep-89,Sep-89
Oct-89,Oct-89
Nov-89,Nov-89
Dec-89,Dec-89
Jan-90,Jan-90
Feb-90,Feb-90
Mar-90,Mar-90
Apr-90,Apr-90
May-90,May-90
Jun-90,Jun-90
Jul-90,Jul-90
Aug-90,Aug-90
Sep-90,Sep-90
Oct-90,Oct-90
Nov-90,Nov-90
Dec-90,Dec-90
Jan-91,Jan-91
Feb-91,Feb-91
Mar-91,Mar-91
Apr-91,Apr-91
May-91,May-91
Jun-91,Jun-91
Jul-91,Jul-91
Aug-91,Aug-91
Sep-91,Sep-91
Oct-91,Oct-91
Nov-91,Nov-91
Dec-91,Dec-91
Jan-92,Jan-92
Feb-92,Feb-92
Mar-92,Mar-92
Apr-92,Apr-92
May-92,May-92
Jun-92,Jun-92
Jul-92,Jul-92
Aug-92,Aug-92
Sep-92,Sep-92
Oct-92,Oct-92
Nov-92,Nov-92
Dec-92,Dec-92
Jan-93,Jan-93
Feb-93,Feb-93
Mar-93,Mar-93
Apr-93,Apr-93
May-93,May-93
Jun-93,Jun-93
Jul-93,Jul-93
Aug-93,Aug-93
Sep-93,Sep-93
Oct-93,Oct-93
Nov-93,Nov-93
Dec-93,Dec-93
Jan-94,Jan-94
Feb-94,Feb-94
Mar-94,Mar-94
Apr-94,Apr-94
May-94,May-94
Jun-94,Jun-94
Jul-94,Jul-94
Aug-94,Aug-94
Sep-94,Sep-94
Oct-94,Oct-94
Nov-94,Nov-94
Dec-94,Dec-94
Jan-95,Jan-95
Feb-95,Feb-95
Mar-95,Mar-95
Apr-95,Apr-95
May-95,May-95
Jun-95,Jun-95
Jul-95,Jul-95
Aug-95,Aug-95
Sep-95,Sep-95
Oct-95,Oct-95
Nov-95,Nov-95
Dec-95,Dec-95
Jan-96,Jan-96
Feb-96,Feb-96
Mar-96,Mar-96
Apr-96,Apr-96
May-96,May-96
Jun-96,Jun-96
Jul-96,Jul-96
Aug-96,Aug-96
Sep-96,Sep-96
Oct-96,Oct-96
Nov-96,Nov-96
Dec-96,Dec-96
Jan-97,Jan-97
Feb-97,Feb-97
Mar-97,Mar-97
Apr-97,Apr-97
May-97,May-97
Jun-97,Jun-97
Jul-97,Jul-97
Aug-97,Aug-97
Sep-97,Sep-97
Oct-97,Oct-97
Nov-97,Nov-97
Dec-97,Dec-97
Jan-98,Jan-98
Feb-98,Feb-98
Mar-98,Mar-98
Apr-98,Apr-98
May-98,May-98
Jun-98,Jun-98
Jul-98,Jul-98
Aug-98,Aug-98
Sep-98,Sep-98
Oct-98,Oct-98
Nov-98,Nov-98
Dec-98,Dec-98
Jan-99,Jan-99
Feb-99,Feb-99
Mar-99,Mar-99
Apr-99,Apr-99
May-99,May-99
Jun-99,Jun-99
Jul-99,Jul-99
Aug-99,Aug-99
Sep-99,Sep-99
Oct-99,Oct-99
Nov-99,Nov-99
Dec-99,Dec-99
Jan-00,Jan-00
Feb-00,Feb-00
Mar-00,Mar-00
Apr-00,Apr-00
May-00,May-00
Jun-00,Jun-00
Jul-00,Jul-00
Aug-00,Aug-00
Sep-00,Sep-00
Oct-00,Oct-00
Nov-00,Nov-00
Dec-00,Dec-00
Jan-01,Jan-01
Feb-01,Feb-01
Mar-01,Mar-01
Apr-01,Apr-01
May-01,May-01
Jun-01,Jun-01
Jul-01,Jul-01
Aug-01,Aug-01
Sep-01,Sep-01
Oct-01,Oct-01
Nov-01,Nov-01
Dec-01,Dec-01
Jan-02,Jan-02
Feb-02,Feb-02
Mar-02,Mar-02
Apr-02,Apr-02
May-02,May-02
Jun-02,Jun-02
Jul-02,Jul-02
Aug-02,Aug-02
Sep-02,Sep-02
Oct-02,Oct-02
Nov-02,Nov-02
Dec-02,Dec-02
Jan-03,Jan-03
Feb-03,Feb-03
Mar-03,Mar-03
Apr-03,Apr-03
May-03,May-03
Jun-03,Jun-03
Jul-03,Jul-03
Aug-03,Aug-03
Sep-03,Sep-03
Oct-03,Oct-03
Nov-03,Nov-03
Dec-03,Dec-03
Jan-04,Jan-04
Feb-04,Feb-04
Mar-04,Mar-04
Apr-04,Apr-04
May-04,May-04
Jun-04,Jun-04
Jul-04,Jul-04
Aug-04,Aug-04
Sep-04,Sep-04
Oct-04,Oct-04
Nov-04,Nov-04
Dec-04,Dec-04
Jan-05,Jan-05
Feb-05,Feb-05
Mar-05,Mar-05
Apr-05,Apr-05
May-05,May-05
Jun-05,Jun-05
Jul-05,Jul-05
Aug-05,Aug-05
Sep-05,Sep-05
Oct-05,Oct-05
Nov-05,Nov-05
Dec-05,Dec-05
Jan-06,Jan-06
Feb-06,Feb-06
Mar-06,Mar-06
Apr-06,Apr-06
May-06,May-06
Jun-06,Jun-06
Jul-06,Jul-06
Aug-06,Aug-06
Sep-06,Sep-06
Oct-06,Oct-06
Nov-06,Nov-06
Dec-06,Dec-06
Jan-07,Jan-07
Feb-07,Feb-07
Mar-07,Mar-07
Apr-07,Apr-07
May-07,May-07
Jun-07,Jun-07
Jul-07,Jul-07
Aug-07,Aug-07
Sep-07,Sep-07
Oct-07,Oct-07
Nov-07,Nov-07
Dec-07,Dec-07
Jan-08,Jan-08
Feb-08,Feb-08
Mar-08,Mar-08
Apr-08,Apr-08
May-08,May-08
Jun-08,Jun-08
Jul-08,Jul-08
Aug-08,Aug-08
Sep-08,Sep-08
Oct-08,Oct-08
Nov-08,Nov-08
Dec-08,Dec-08
Jan-09,Jan-09
Feb-09,Feb-09
Mar-09,Mar-09
Apr-09,Apr-09
May-09,May-09
Jun-09,Jun-09
Jul-09,Jul-09
Aug-09,Aug-09
Sep-09,Sep-09
Oct-09,Oct-09
Nov-09,Nov-09
Dec-09,Dec-09
Jan-10,Jan-10
Feb-10,Feb-10
Mar-10,Mar-10
Apr-10,Apr-10
May-10,May-10
Jun-10,Jun-10
Jul-10,Jul-10
Aug-10,Aug-10
Sep-10,Sep-10
Oct-10,Oct-10
Nov-10,Nov-10
Dec-10,Dec-10
Jan-11,Jan-11
Feb-11,Feb-11
Mar-11,Mar-11
Apr-11,Apr-11
May-11,May-11
Jun-11,Jun-11
Jul-11,Jul-11
Aug-11,Aug-11
Sep-11,Sep-11
Oct-11,Oct-11
Nov-11,Nov-11
Dec-11,Dec-11
Jan-12,Jan-12
Feb-12,Feb-12
Mar-12,Mar-12
Apr-12,Apr-12
May-12,May-12
Jun-12,Jun-12
Jul-12,Jul-12
Aug-12,Aug-12
Sep-12,Sep-12
Oct-12,Oct-12
Nov-12,Nov-12
Dec-12,Dec-12
Jan-13,Jan-13
Feb-13,Feb-13
Mar-13,Mar-13
Apr-13,Apr-13
May-13,May-13
Jun-13,Jun-13
Jul-13,Jul-13
Aug-13,Aug-13
Sep-13,Sep-13
Oct-13,Oct-13
Nov-13,Nov-13
Dec-13,Dec-13
Jan-14,Jan-14
Feb-14,Feb-14
Mar-14,Mar-14
Apr-14,Apr-14
May-14,May-14
Jun-14,Jun-14
Jul-14,Jul-14
Aug-14,Aug-14
Sep-14,Sep-14
Oct-14,Oct-14
Nov-14,Nov-14
Dec-14,Dec-14
Jan-15,Jan-15
Feb-15,Feb-15
Mar-15,Mar-15
Apr-15,Apr-15
May-15,May-15
Jun-15,Jun-15
Jul-15,Jul-15
Aug-15,Aug-15
Sep-15,Sep-15
Oct-15,Oct-15
Nov-15,Nov-15
Dec-15,Dec-15
Jan-16,Jan-16
Feb-16,Feb-16
Mar-16,Mar-16
Apr-16,Apr-16
May-16,May-16
Jun-16,Jun-16
Jul-16,Jul-16
Aug-16,Aug-16
Sep-16,Sep-16
Oct-16,Oct-16
Nov-16,Nov-16
Dec-16,Dec-16
Jan-17,Jan-17
Feb-17,Feb-17
Mar-17,Mar-17
Apr-17,Apr-17
May-17,May-17
Jun-17,Jun-17
Jul-17,Jul-17
Aug-17,Aug-17
Sep-17,Sep-17
Oct-17,Oct-17
Nov-17,Nov-17
Dec-17,Dec-17
Jan-18,Jan-18
Feb-18,Feb-18
Mar-18,Mar-18
Apr-18,Apr-18
May-18,May-18
Jun-18,Jun-18
Jul-18,Jul-18
Aug-18,Aug-18
Sep-18,Sep-18
Oct-18,Oct-18
Nov-18,Nov-18
Dec-18,Dec-18
Jan-19,Jan-19
Feb-19,Feb-19
Mar-19,Mar-19
Apr-19,Apr-19
May-19,May-19
Jun-19,Jun-19
Jul-19,Jul-19
Aug-19,Aug-19
Sep-19,Sep-19
Oct-19,Oct-19
Nov-19,Nov-19
Dec-19,Dec-19
Jan-20,Jan-20
Feb-20,Feb-20
Mar-20,Mar-20
Apr-20,Apr-20
May-20,May-20
Jun-20,Jun-20
Jul-20,Jul-20
Aug-20,Aug-20
Sep-20,Sep-20
Oct-20,Oct-20
Nov-20,Nov-20
Dec-20,Dec-20
Jan-21,Jan-21
Feb-21,Feb-21
Mar-21,Mar-21
Apr-21,Apr-21
May-21,May-21
Jun-21,Jun-21
Jul-21,Jul-21
Aug-21,Aug-21
Sep-21,Sep-21
Oct-21,Oct-21
Nov-21,Nov-21
Dec-21,Dec-21
Jan-22,Jan-22
Feb-22,Feb-22
Mar-22,Mar-22
Apr-22,Apr-22
May-22,May-22
Jun-22,Jun-22
Jul-22,Jul-22
Aug-22,Aug-22
Sep-22,Sep-22
Oct-22,Oct-22
Nov-22,Nov-22
Dec-22,Dec-22
Jan-23,Jan-23
Feb-23,Feb-23
Mar-23,Mar-23
Apr-23,Apr-23
May-23,May-23
Jun-23,Jun-23
Jul-23,Jul-23
Aug-23,Aug-23
Sep-23,Sep-23
Oct-23,Oct-23
Nov-23,Nov-23
Dec-23,Dec-23
Jan-24,Jan-24
Feb-24,Feb-24
Mar-24,Mar-24
Apr-24,Apr-24
May-24,May-24
Jun-24,Jun-24
Jul-24,Jul-24
Aug-24,Aug-24
Sep-24,Sep-24
Oct-24,Oct-24
Nov-24,Nov-24
Dec-24,Dec-24
Jan-25,Jan-25
Feb-25,Feb-25
Mar-25,Mar-25
Apr-25,Apr-25
May-25,May-25
Jun-25,Jun-25
Jul-25,Jul-25
Aug-25,Aug-25
Sep-25,Sep-25
Oct-25,Oct-25
Nov-25,Nov-25
Dec-25,Dec-25
Jan-26,Jan-26
Feb-26,Feb-26
Mar-26,Mar-26
Apr-26,Apr-26
May-26,May-26
Jun-26,Jun-26
Jul-26,Jul-26
Aug-26,Aug-26
Sep-26,Sep-26
Oct-26,Oct-26
Nov-26,Nov-26
Dec-26,Dec-26
Jan-27,Jan-27
Feb-27,Feb-27
Mar-27,Mar-27
Apr-27,Apr-27
May-27,May-27
Jun-27,Jun-27
Jul-27,Jul-27
Aug-27,Aug-27
Sep-27,Sep-27
Oct-27,Oct-27
Nov-27,Nov-27
Dec-27,Dec-27
Jan-28,Jan-28
Feb-28,Feb-28
Mar-28,Mar-28
Apr-28,Apr-28
May-28,May-28
Jun-28,Jun-28
Jul-28,Jul-28
Aug-28,Aug-28
Sep-28,Sep-28
Oct-28,Oct-28
Nov-28,Nov-28
Dec-28,Dec-28
Jan-29,Jan-29
Feb-29,Feb-29
Mar-29,Mar-29
Apr-29,Apr-29
May-29,May-29
Jun-29,Jun-29
Jul-29,Jul-29
Aug-29,Aug-29
Sep-29,Sep-29
